AnO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2023,9,Bizkaia,America,Argentina,292,2365,8.1
2023,9,Burgos,America,Argentina,80,784,9.8
2023,9,Cantabria,America,Argentina,165,1832,11.1
2023,9,Castellon/Castello,America,Argentina,160,1712,10.7
2023,9,Cuenca,America,Argentina,56,353,6.3
2023,9,Caceres,America,Argentina,62,546,8.8
2023,9,Cadiz,America,Argentina,282,3046,10.8
2023,9,Cordoba,America,Argentina,103,896,8.7
2023,9,Gipuzkoa,America,Argentina,619,4952,8
2023,9,Girona,America,Argentina,758,5912,7.8
2023,9,Granada,America,Argentina,381,3315,8.7
2023,9,Guadalajara,America,Argentina,80,592,7.4
2023,9,Huelva,America,Argentina,45,437,9.7
2023,9,Huesca,America,Argentina,70,616,8.8
2023,9,Illes Balears,America,Argentina,4138,40966,9.9
2023,9,La Rioja,America,Argentina,47,348,7.4
2023,9,Las Palmas,America,Argentina,256,2304,9
2023,9,Leon,America,Argentina,115,1231,10.7
2023,9,Lleida,America,Argentina,127,737,5.8
2023,9,Lugo,America,Argentina,84,706,8.4
2023,9,Madrid,America,Argentina,18613,89342,4.8
2023,9,Murcia,America,Argentina,123,1132,9.2
2023,9,Malaga,America,Argentina,2133,24743,11.6
2023,9,Navarra,America,Argentina,178,1549,8.7
2023,9,Ourense,America,Argentina,74,792,10.7
2023,9,Pontevedra,America,Argentina,316,3286,10.4
2023,9,Salamanca,America,Argentina,112,694,6.2
2023,9,Santa Cruz de Tenerife,America,Argentina,192,2016,10.5
2023,9,Segovia,America,Argentina,69,483,7
2023,9,Sevilla,America,Argentina,422,3334,7.9
2023,9,Soria,America,Argentina,44,268,6.1
2023,9,Tarragona,America,Argentina,428,4622,10.8
2023,9,Toledo,America,Argentina,191,974,5.1
2023,9,Total Nacional,America,Argentina,44388,312032,7
2023,9,Valencia/València,America,Argentina,1557,13702,8.8
2023,9,Valladolid,America,Argentina,62,459,7.4
2023,9,Zamora,America,Argentina,42,378,9
2023,9,Zaragoza,America,Argentina,214,1819,8.5
2023,9,avila,America,Argentina,30,141,4.7
2023,10,A Coruna,America,Argentina,386,3628,9.4
2023,10,Alicante/Alacant,America,Argentina,734,6606,9
2023,10,Almeria,America,Argentina,171,1573,9.2
2023,10,Araba/alava,America,Argentina,53,413,7.8
2023,10,Asturias,America,Argentina,207,1842,8.9
2023,10,Badajoz,America,Argentina,61,592,9.7
2023,10,Barcelona,America,Argentina,8329,54971,6.6
2023,10,Bizkaia,America,Argentina,270,2322,8.6
2023,10,Burgos,America,Argentina,84,664,7.9
2023,10,Cantabria,America,Argentina,155,1256,8.1
2023,10,Castellon/Castello,America,Argentina,133,1037,7.8
2023,10,Ciudad Real,America,Argentina,35,259,7.4
2023,10,Cuenca,America,Argentina,50,260,5.2
2023,10,Cadiz,America,Argentina,269,2287,8.5
2023,10,Cordoba,America,Argentina,88,607,6.9
2023,10,Gipuzkoa,America,Argentina,570,4104,7.2
2023,10,Girona,America,Argentina,516,3922,7.6
2023,10,Granada,America,Argentina,343,2881,8.4
2023,10,Guadalajara,America,Argentina,58,313,5.4
2023,10,Huelva,America,Argentina,31,260,8.4
2023,10,Huesca,America,Argentina,64,512,8
2023,10,Illes Balears,America,Argentina,1861,17866,9.6
2023,10,La Rioja,America,Argentina,55,473,8.6
2023,10,Las Palmas,America,Argentina,297,2435,8.2
2023,10,Leon,America,Argentina,97,980,10.1
2023,10,Lleida,America,Argentina,123,750,6.1
2023,10,Lugo,America,Argentina,72,677,9.4
2023,10,Madrid,America,Argentina,18772,105123,5.6
2023,10,Murcia,America,Argentina,137,1082,7.9
2023,10,Malaga,America,Argentina,1604,15880,9.9
2023,10,Navarra,America,Argentina,153,1239,8.1
2023,10,Ourense,America,Argentina,53,599,11.3
2023,10,Pontevedra,America,Argentina,347,3227,9.3
2023,10,Salamanca,America,Argentina,91,664,7.3
2023,10,Santa Cruz de Tenerife,America,Argentina,241,1952,8.1
2023,10,Segovia,America,Argentina,50,270,5.4
2023,10,Sevilla,America,Argentina,507,4360,8.6
2023,10,Soria,America,Argentina,31,229,7.4
2023,10,Tarragona,America,Argentina,318,2703,8.5
2023,10,Toledo,America,Argentina,240,1152,4.8
2023,10,Total Nacional,America,Argentina,39293,265817,6.8
2023,10,Valencia/València,America,Argentina,1288,11206,8.7
2023,10,Valladolid,America,Argentina,59,384,6.5
2023,10,Zaragoza,America,Argentina,158,1106,7
2023,11,A Coruna,America,Argentina,220,1980,9
2023,11,Alicante/Alacant,America,Argentina,673,6595,9.8
2023,11,Almeria,America,Argentina,154,1463,9.5
2023,11,Araba/alava,America,Argentina,36,335,9.3
2023,11,Asturias,America,Argentina,143,1401,9.8
2023,11,Badajoz,America,Argentina,39,293,7.5
2023,11,Barcelona,America,Argentina,6060,41814,6.9
2023,11,Bizkaia,America,Argentina,157,1570,10
2023,11,Burgos,America,Argentina,32,291,9.1
2023,11,Cantabria,America,Argentina,58,412,7.1
2023,11,Castellon/Castello,America,Argentina,131,1048,8
2023,11,Ciudad Real,America,Argentina,40,272,6.8
2023,11,Cuenca,America,Argentina,35,182,5.2
2023,11,Caceres,America,Argentina,33,314,9.5
